Rank,Name,Position,Age,Height,Weight,College,TLDR,FB,FBf,2nd,2ndf,3rd,3rdf,4th,4thf,5th,5thf,Commandp,Commandf,Velos,Contact,Contactf,G Power,G Powerf,R Power,R Powerf,Speed,Speedf,Field,Fieldf,Arm,FV,DS,DV,ETA,Slot,Drafted/College,Bonus_pred
29,Brody Brecht,SP,21.8,6'4,235,Iowa,"Iowa WR and now full-time pitcher, is the most 80 stuff 20 command-y guy in the draft with a power SL & FB. Raw pitching-wise, maxed-out physically.",60,65,65,70,35,45,,,,,30,35,"95-98/100, SL85-89, SP89-92",,,,,,,,,,,,45,51.29,,2028,,Iowa,"$1,966,327"
6,Chase Burns,SP,21.4,6'3,210,Wake Forest,Not too far from 70/70 FB/SL potential with two other pitches with 50-upside and quality command. ,65,70,70,70,50,55,40,45,,,35,45,"96-99/101, SL85-90, CB80-85, CH88-92",,,,,,,,,,,,55,57.73,,2027,,Wake Forest,"$5,386,320"
51,Drew Beam,SP,21.4,6'4,210,Tennessee,"Once looked like a T5 pick in this Draft after '22, but espcially after a slow start this year is a fringe R1 talent through his FB/CB combo.",45,50,60,60,45,50,30,40,,,45,50,"92-96/98, CB79-82, CH85-88, CT88-91",,,,,,,,,,,,40,46.41,,2028,,Tennessee,"$879,434"
9,Hagen Smith,SP,20.8,6'3,225,Arkansas,Arguably holds the best secondary within the draft with great overall swing and miss ability.,60,65,70,70,40,50,45,50,,,45,60,"93-97/100, SL81-86, CH86-90, CT85-88",,,,,,,,,,,,55,61.60,,2027,,Arkansas,"$5,211,672"
11,Trey Yesavage,SP,20.9,6'4,225,East Carolina,Large high release righty with a pleathora of Avg-to-+ pitches resembling Chris Bassitt closely.,55,55,60,60,55,60,40,45,,,45,65,"92-96/97, CT84-89, SP81-86, CB79-83",,,,,,,,,,,,50,54.07,,2027,,East Carolina,"$3,319,996"
57,Carson Wiggins,SP,19.1,6'5,210,Arkansas,Long levered big framed HSer with effortless velo. SL for lots of depth but lacks command for the entire arsenal. Old for the prep class.,50,60,55,60,30,40,,,,,25,40,"94-97/99, SL83-87, SP85-88",,,,,,,,,,,,40,45.22,,2031,,Arkansas,"$1,253,024"
141,Noah Franco,SP,18.2,6'3,205,TCU,Has spent very little time pitching has he used to be a TWP. FB with a good amount of ride and has the ability to spin. Lots of room to grow for a patient org.,50,55,45,50,45,45,,,,,25,45,"90-92/94, SL81-84, CH78-82",,,,,,,,,,,,35,43.16,,2031,,TCU,"$1,251,827"
149,Cade Obermueller,SP,21.0,5'11,160,Iowa,Undersized lefty that throws with a very low release and has ability to spin. Lacks both FB velo and command. SL with heavy sweep.,30,40,40,55,30,40,,,,,25,40,"89-92/95, SL77-80, SP80-83",,,,,,,,,,,,35,39.05,,2028,,Iowa,"$318,386"
147,Andrew Dutkanych IV,SP,21.0,6'3,220,Vanderbilt,"One of the top prep arms in '22 that decided to go to Vandy, and looks like a mistake now. Has only thrown 17 IP in his 2 years and jsut underwent another TJ. Still shows his high velo however",50,55,50,60,40,55,30,35,,,25,35,"92-95/97, SL83-86, CB78-81, CH84-86",,,,,,,,,,,,35,46.13,,2029,,Vanderbilt,"$965,460"
166,Schuyler Sandford,SP,19.2,6'6,215,Florida,Lengthy HS arm with a quality FB from the ride of the pitch plus the extension in his delivery. Poor feel for his secondaries and command in general.,55,60,35,45,35,45,30,40,,,25,30,"91-95/96, CB76-79, SL83-85, CH81-84",,,,,,,,,,,,35,41.48,,2031,,Florida,"$946,205"
47,Dylan Jordan,SP,18.7,6'2,205,Florida State,"SI with lots of run, and thrown from a low arm slot which can be lethal in the top of the zone. Lots of opposing Hor run on the SL/CH. Big upside.",50,60,45,55,35,50,,,,,25,40,"90-93/96, SL81-84, CH80-83",,,,,,,,,,,,45,47.85,,2029,,Florida State,"$2,605,566"
